;ID WMO;:  96937
;NAMA STASIUN;:  Stasiun Meteorologi Maritim Tanjung Perak
;LINTANG;:  -7.20530
;BUJUR;:  112.73530
;ELEVASI;:  3 Meter
;;
;;
TANGGAL;TAVG;
01-07-2025;29,1;
02-07-2025;29,1;
03-07-2025;29,2;
04-07-2025;29;
05-07-2025;27,9;
06-07-2025;27,2;
07-07-2025;28;
08-07-2025;27,5;
09-07-2025;27,4;
10-07-2025;26,7;
11-07-2025;27,4;
12-07-2025;27;
13-07-2025;29,3;
14-07-2025;28,8;
15-07-2025;28,4;
16-07-2025;28,9;
17-07-2025;28;
18-07-2025;27,8;
19-07-2025;27,2;
20-07-2025;26,8;
21-07-2025;27,3;
22-07-2025;27,4;
23-07-2025;28,8;
24-07-2025;28,7;
25-07-2025;29;
26-07-2025;29,8;
27-07-2025;29,8;
28-07-2025;29,6;
29-07-2025;29,5;
30-07-2025;28,5;
31-07-2025;28,2;
;;
;;
;;
KETERANGAN:;;
8888: Data tidak terukur;;
9999: Tidak Ada Data (tidak dilakukan pengukuran);;
Tavg: Temperatur rata-rata(°C);;
