;ID WMO;:  96933
;NAMA STASIUN;:  Stasiun Meteorologi Perak I
;LINTANG;:  -7.22360
;BUJUR;:  112.72390
;ELEVASI;:  3 Meter
;;
;;
TANGGAL;TAVG;
01-06-2025;27,9;
02-06-2025;28,7;
03-06-2025;29,4;
04-06-2025;29,6;
05-06-2025;30,1;
06-06-2025;28,8;
07-06-2025;29;
08-06-2025;29,2;
09-06-2025;26,9;
10-06-2025;28,4;
11-06-2025;29,3;
12-06-2025;28,7;
13-06-2025;28,5;
14-06-2025;28,7;
15-06-2025;29,6;
16-06-2025;29,2;
17-06-2025;29,8;
18-06-2025;28,3;
19-06-2025;27,8;
20-06-2025;27,4;
21-06-2025;28,3;
22-06-2025;28,1;
23-06-2025;29;
24-06-2025;28,6;
25-06-2025;28,5;
26-06-2025;28,8;
27-06-2025;29,1;
28-06-2025;29,1;
29-06-2025;28,7;
30-06-2025;28,2;
;;
;;
;;
KETERANGAN:;;
8888: Data tidak terukur;;
9999: Tidak Ada Data (tidak dilakukan pengukuran);;
Tavg: Temperatur rata-rata(°C);;
