;ID WMO;:  96937
;NAMA STASIUN;:  Stasiun Meteorologi Maritim Tanjung Perak
;LINTANG;:  -7.20530
;BUJUR;:  112.73530
;ELEVASI;:  3 Meter
;;
;;
TANGGAL;TAVG;
01-03-2026;28,9;
02-03-2026;28,4;
03-03-2026;28,1;
04-03-2026;28,1;
05-03-2026;28,3;
06-03-2026;28,8;
07-03-2026;28,8;
08-03-2026;27,6;
09-03-2026;28,6;
10-03-2026;28,1;
11-03-2026;28,8;
12-03-2026;29,1;
13-03-2026;29,1;
14-03-2026;29,3;
15-03-2026;28,3;
16-03-2026;28,5;
17-03-2026;27,5;
18-03-2026;28,3;
19-03-2026;28,9;
20-03-2026;28,4;
21-03-2026;28,7;
22-03-2026;28,2;
23-03-2026;29,6;
24-03-2026;28,7;
25-03-2026;29,2;
26-03-2026;28,1;
27-03-2026;29;
28-03-2026;28,8;
29-03-2026;28,7;
30-03-2026;28,4;
31-03-2026;28,5;
;;
;;
;;
KETERANGAN:;;
8888: Data tidak terukur;;
9999: Tidak Ada Data (tidak dilakukan pengukuran);;
Tavg: Temperatur rata-rata(°C);;
