;ID WMO;:  96937
;NAMA STASIUN;:  Stasiun Meteorologi Maritim Tanjung Perak
;LINTANG;:  -7.20530
;BUJUR;:  112.73530
;ELEVASI;:  3 Meter
;;
;;
TANGGAL;TAVG;
01-02-2026;28,6;
02-02-2026;28,4;
03-02-2026;27,4;
04-02-2026;27,5;
05-02-2026;27,5;
06-02-2026;28,9;
07-02-2026;28,3;
08-02-2026;28,1;
09-02-2026;27;
10-02-2026;27,9;
11-02-2026;27,7;
12-02-2026;29;
13-02-2026;27,6;
14-02-2026;28,1;
15-02-2026;28,4;
16-02-2026;28,2;
17-02-2026;29,3;
18-02-2026;27,8;
19-02-2026;28,2;
20-02-2026;28,5;
21-02-2026;28,6;
22-02-2026;27,7;
23-02-2026;27,9;
24-02-2026;27,5;
25-02-2026;28,1;
26-02-2026;27,6;
27-02-2026;28,1;
28-02-2026;28,7;
;;
;;
;;
KETERANGAN:;;
8888: Data tidak terukur;;
9999: Tidak Ada Data (tidak dilakukan pengukuran);;
Tavg: Temperatur rata-rata(°C);;
